id,simTime,position,angle,predprey,tag,otherID,immCheck,RanW,closestAlly
21,4.006867170333862,[-1.61867954  0.07236321  0.03050974],-1.6261579965805266,pred,1,11,True,True,1
22,4.006867170333862,[-8.01890025 -4.35069611  0.03397176],-1.1993717392165728,pred,1,4,True,True,1
23,4.006867170333862,[5.35848725 7.63225489 0.03336132],-1.36555401611839,pred,1,14,True,True,1
24,4.006867170333862,[-8.87683834 -8.77225781  0.03023276],-1.389887004261252,pred,1,4,True,True,1
25,4.006867170333862,[7.69798285 6.05259387 0.03264591],-1.39352711872201,pred,1,14,True,True,1
26,4.006867170333862,[-0.19398333  7.89960325  0.03248533],-1.4571938070374117,pred,1,14,True,True,1
27,4.006867170333862,[-4.51798911 -3.46485048  0.03043294],-1.6381663968356954,pred,1,4,True,True,1
28,4.006867170333862,[ 7.90643901 -3.10535774  0.0341871 ],-1.3834124695349517,pred,1,11,True,True,1
29,4.006867170333862,[ 8.56440462 -6.60599003  0.0316119 ],-1.4177179111444214,pred,1,11,True,True,1
0,6.014264106750488,[ 8.69227877 -0.88681764  0.02938665],-1.469715684225236,prey,1,28,False,True,11
1,6.014264106750488,[ 3.1987075  -1.67466927  0.02706336],-1.4848643171247997,prey,1,20,False,True,11
2,6.014264106750488,[-5.22945605 -6.71912485  0.02946698],-1.8207892466552928,prey,1,27,False,True,4
3,6.014264106750488,[-7.46429228 -5.21484171  0.02715256],-1.412280607482622,prey,1,22,False,True,4
4,6.014264106750488,[-1.64288787 -8.20226474  0.02745638],-1.4522188384266044,prey,1,27,True,True,11
5,6.014264106750488,[-8.92921569  4.68169586  0.02930958],-1.8969533560327483,prey,1,21,True,True,14
6,6.014264106750488,[ 6.9611793  -3.90664423  0.03052447],-1.4143635669301848,prey,1,28,False,True,11
7,6.014264106750488,[-1.89185297  7.44012392  0.02685424],-1.4568015155601255,prey,1,16,False,True,14
8,6.014264106750488,[-1.86087765 -0.45265987  0.02994848],-1.9213987702332271,prey,1,21,False,True,4
9,6.014264106750488,[-7.81927003 -0.10638136  0.02721312],-1.684817832916115,prey,1,22,False,True,5
10,6.014264106750488,[ 3.71187419 -4.14790324  0.0290123 ],-1.3782898761726416,prey,1,28,False,True,11
11,6.014264106750488,[-0.74450644 -8.18443643  0.02930899],-1.8812335107658489,prey,1,27,True,True,4
12,6.014264106750488,[1.77577787 3.46115962 0.02666985],-1.4709923554371613,prey,1,17,False,True,14
13,6.014264106750488,[-8.69980676 -0.59494574  0.02897126],-1.736726326192243,prey,1,22,False,True,5
14,6.014264106750488,[-7.50062913  8.37403616  0.0297893 ],-1.8657353842679028,prey,1,26,True,True,5
15,6.014264106750488,[-1.2380982  -0.28093576  0.02987387],-1.8308900861652602,prey,1,21,False,True,11
16,6.014264106750488,[-0.23304879  7.50290821  0.02932915],-1.6294989414210348,pred,1,14,True,True,1
17,6.014264106750488,[2.43387557 3.88287976 0.03032417],-1.4607637687481936,pred,1,14,True,True,1
18,6.014264106750488,[1.5054171  0.16396213 0.03029194],-1.5142790403650817,pred,1,11,True,True,1
19,6.014264106750488,[5.66238723 5.78060493 0.02774097],-1.4977034519385293,pred,1,14,True,True,1
20,6.014264106750488,[1.58591527 0.21268945 0.09028527],-1.4559973339212726,pred,1,11,True,True,1
21,6.014264106750488,[-1.6462012  -0.04457112  0.02856218],-1.8692149711411543,pred,1,4,True,True,1
22,6.014264106750488,[-8.06737036 -4.41514384  0.02714319],-1.299281997018434,pred,1,4,True,True,1
23,6.014264106750488,[5.31984149 7.56085109 0.02886837],-1.4664680202607416,pred,1,14,True,True,1
24,6.014264106750488,[-8.92693324 -8.88130064  0.0292991 ],-1.6558212879484406,pred,1,4,True,True,1
25,6.014264106750488,[7.66368098 5.98038    0.02723339],-1.4325973577133708,pred,1,14,True,True,1
26,6.014264106750488,[-0.23065988  7.83250565  0.0302927 ],-1.5345903924335629,pred,1,14,True,True,1
27,6.014264106750488,[-4.53844337 -3.57998316  0.02929928],-1.8828621398981782,pred,1,4,True,True,1
28,6.014264106750488,[ 7.87052764 -3.17031026  0.02635516],-1.4518785334287574,pred,1,11,True,True,1
29,6.014264106750488,[ 8.52969456 -6.67558338  0.02842341],-1.5286582973985818,pred,1,11,True,True,1
